"courseID","course_title","id","value","name","full_name","section_name","semester","document","goal","keyword","color","section","school","session","instructor","course_description","department","origin","total_enrolled","N.Sections","course_desc","year","all_semesters","course_level","clean_course_desc","text","nkeywords","all_keywords","all_goals","sustainability_classification","freq"
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",30,"A","The Arts","A - The Arts","","SP24",44213,11,"architecture","#FD9D24",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",30,"A","The Arts","A - The Arts","","SP24",44213,10,"cultural","#DD1367",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",37,"H","Traditions and Historical Foundations","H - Traditions and Historical Foundations","","SP24",44213,11,"architecture","#FD9D24",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",37,"H","Traditions and Historical Foundations","H - Traditions and Historical Foundations","","SP24",44213,10,"cultural","#DD1367",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",20,"Category I","Western Cultures and Traditions","Category I - Western Cultures and Traditions","","SP24",44213,11,"architecture","#FD9D24",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-121","Foundations of Western Art: Renaissance to Contemporary",20,"Category I","Western Cultures and Traditions","Category I - Western Cultures and Traditions","","SP24",44213,10,"cultural","#DD1367",11818,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Ogata, Amy","European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AHIS",20241,176,5,"Foundations of Western Art: Renaissance to Contemporary -  - European art and its legacy in the Americas. Painting, sculpture, architecture and other visual media considered in relation to social and cultural history.","AY24","SP20, SP21, SP22, SP23, SP24","undergrad lower division","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ","foundations of western art  renaissance to contemporary      european art and its legacy in the americas  painting  sculpture  architecture and other visual media considered in relation to social and cultural history ",1,"architecture,cultural","10,11","Sustainability-Inclusive",1
"AHIS-125","Arts of Asia: Antiquity to 1300",21,"Category II","Global Cultures and Traditions","Category II - Global Cultures and Traditions","","F24",49785,11,"monuments","#FD9D24",11838,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Lee, Sonya","An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AHIS",20243,0,3,"Arts of Asia: Antiquity to 1300 -  - An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AY25","F19, F20, F21, SP23, SP24, F24","undergrad lower division","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ",1,"monuments","11","SDG-Related",1
"AHIS-125","Arts of Asia: Antiquity to 1300",30,"A","The Arts","A - The Arts","","F24",49785,11,"monuments","#FD9D24",11838,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Lee, Sonya","An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AHIS",20243,0,3,"Arts of Asia: Antiquity to 1300 -  - An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AY25","F19, F20, F21, SP23, SP24, F24","undergrad lower division","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ",1,"monuments","11","SDG-Related",1
"AHIS-125","Arts of Asia: Antiquity to 1300",37,"H","Traditions and Historical Foundations","H - Traditions and Historical Foundations","","F24",49785,11,"monuments","#FD9D24",11838,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Lee, Sonya","An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AHIS",20243,0,3,"Arts of Asia: Antiquity to 1300 -  - An introduction to the major art forms and monuments of religious art in India, Southeast Asia, China and Japan from prehistory to1300.","AY25","F19, F20, F21, SP23, SP24, F24","undergrad lower division","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ","arts of asia  antiquity to 1300      an introduction to the major art forms and monuments of religious art in india  southeast asia  china and japan from prehistory to1300 ",1,"monuments","11","SDG-Related",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",30,"A","The Arts","A - The Arts","","SP23",34377,11,"architecture","#FD9D24",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",30,"A","The Arts","A - The Arts","","SP23",34377,10,"colonial period","#DD1367",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",37,"H","Traditions and Historical Foundations","H - Traditions and Historical Foundations","","SP23",34377,11,"architecture","#FD9D24",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",37,"H","Traditions and Historical Foundations","H - Traditions and Historical Foundations","","SP23",34377,10,"colonial period","#DD1367",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",21,"Category II","Global Cultures and Traditions","Category II - Global Cultures and Traditions","","SP23",34377,11,"architecture","#FD9D24",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-128","The Arts and Society in Latin America, Colonial to Contempor",21,"Category II","Global Cultures and Traditions","Category II - Global Cultures and Traditions","","SP23",34377,10,"colonial period","#DD1367",11863,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Bleichmar, Daniela","Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AHIS",20231,88,3,"The Arts and Society in Latin America, Colonial to Contempor -  - Survey of the art, architecture, and visual culture of Latin America from the colonial period to the present, focusing on connections to culture and society.","AY23","SP20, SP23","undergrad lower division","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ","the arts and society in latin america  colonial to contempor      survey of the art  architecture  and visual culture of latin america from the colonial period to the present  focusing on connections to culture and society ",1,"colonial period,architecture","10,11","Sustainability-Inclusive",1
"AHIS-250","Art, Modernity and Difference",30,"A","The Arts","A - The Arts","","F24",49788,NA,NA,NA,11883,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Burton, Samantha","Consideration of various categories of ""The Modern"" as they have been constructed in Western art of the late 19th and 20th centuries.","AHIS",20243,0,1,"Art, Modernity and Difference -  - Consideration of various categories of ""The Modern"" as they have been constructed in Western art of the late 19th and 20th centuries.","AY25","SP20, SP21, SP23, F23, F24","undergrad lower division","art  modernity and difference      consideration of various categories of  the modern  as they have been constructed in western art of the late 19th and 20th centuries ","art  modernity and difference      consideration of various categories of  the modern  as they have been constructed in western art of the late 19th and 20th centuries ",1,"","","Not Related",NA
"AHIS-373","History and Theory of Photography",30,"A","The Arts","A - The Arts","","SP24",44223,9,"invention","#FD6925",11974,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"Burton, Samantha","Explores key moments in the history of photography from its invention to the present. Issues include modernity and mass culture; photography as a fine art; technologies of vision.","AHIS",20241,19,1,"History and Theory of Photography -  - Explores key moments in the history of photography from its invention to the present. Issues include modernity and mass culture; photography as a fine art; technologies of vision.","AY24","F19, F20, SP22, SP23, SP24","undergrad upper division","history and theory of photography      explores key moments in the history of photography from its invention to the present  issues include modernity and mass culture  photography as a fine art  technologies of vision ","history and theory of photography      explores key moments in the history of photography from its invention to the present  issues include modernity and mass culture  photography as a fine art  technologies of vision ",1,"invention","9","SDG-Related",1
"AMST-101","Race and Class in Los Angeles",32,"C","Social Analysis","C - Social Analysis","","F24",49608,10,"segregation","#DD1367",10310,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"De Lara, Juan","Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AMST",20243,0,7,"Race and Class in Los Angeles -  - Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, SU24, F24","undergrad lower division","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ",3,"city,segregation,los angeles,politics,political,inequality,race","5,10,11,16","Sustainability-Inclusive",1
"AMST-101","Race and Class in Los Angeles",32,"C","Social Analysis","C - Social Analysis","","F24",49608,5,"inequality","#FF3A21",10310,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"De Lara, Juan","Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AMST",20243,0,7,"Race and Class in Los Angeles -  - Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, SU24, F24","undergrad lower division","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ",1,"city,segregation,los angeles,politics,political,inequality,race","5,10,11,16","Sustainability-Inclusive",1
"AMST-101","Race and Class in Los Angeles",32,"C","Social Analysis","C - Social Analysis","","F24",49608,11,"city","#FD9D24",10310,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"De Lara, Juan","Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AMST",20243,0,7,"Race and Class in Los Angeles -  - Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, SU24, F24","undergrad lower division","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ",2,"city,segregation,los angeles,politics,political,inequality,race","5,10,11,16","Sustainability-Inclusive",1
"AMST-101","Race and Class in Los Angeles",32,"C","Social Analysis","C - Social Analysis","","F24",49608,10,"race","#DD1367",10310,"Dana and David Dornsife College of Letters, Arts and Sciences",1,"De Lara, Juan","Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AMST",20243,0,7,"Race and Class in Los Angeles -  - Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AY25","F19, SP20, F20, SP21, F21, SP22, F22, SP23, F23, SP24, SU24, F24","undergrad lower division","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ","race and class in los angeles      analysis of race and the economic  political  gender  and social dimensions of contemporary los angeles including topics such as residential segregation  economic inequality  and city politics ",3,"city,segregation,los angeles,politics,political,inequality,race","5,10,11,16","Sustainability-Inclusive",2
