SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR,COURSE_DESCRIPTION
10225,ACAD,ACAD-217,1,4,4,Extended Reality Design,C,,Y,14:00,16:50,TH,0,,"Becker, Carsten",IYH213,0,"Students design and develop live immersive experiences in a variety of mediums including AR, VR and small- to large-scale interactive environments."
10227,ACAD,ACAD-240,1,4,4,Materials: Denim to Nanotubes,C,,Y,14:00,15:50,TH,0,,,IYH111,0,Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind.
10229,ACAD,ACAD-245,1,4,4,Designing Products I,C,,Y,17:00,19:50,TH,0,,"Delgatty, Grant",IYH213,0,"An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis."
10235,ACAD,ACAD-260,1,4,4,Introduction to Healthcare Innovation,CL,,Y,12:00,13:50,MW,0,,"Lulejian, Armine",IYH212,0,"Introductions to various health innovations, including pathways, technology, techniques and outcomes. A framework for innovation in healthcare and overview of tools for health innovators."
10242,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,17:00,19:50,TH,0,,"Bruneau, John",IYH211,0,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10239,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,14:00,16:50,TH,0,,"Dent, Patrick, H",IYH210,0,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10240,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,17:00,19:50,TH,0,,"Dent, Patrick, H",IYH210,0,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10245,ACAD,ACAD-280,1,4,4,Designing Digital Experiences,C,,Y,14:00,16:50,TH,0,,"Siegel, Aaron",IYH211,0,"Designing elegant and powerful interfaces and experiences for the ways people interact with data, devices, systems and digital environments."
10247,ACAD,ACAD-281,1,4,4,Designing Live Experiences,CL,,Y,9:00,11:50,TH,0,,"Wolter, Davina",IYH212/213,0,"Experience-based solutions for the design of branded environments and the development of prototypes that are entertaining, informational and inspirational."
10252,ACAD,ACAD-309,1,4,4,Dreams and Madness: The Art of Japan's Golden Age of Animation,C,,Y,15:30,18:50,W,0,,"Thomas, Doug",SGM101,0,"An in-depth look at the art, politics, and cultural impact of"
,,,,,,,,,,,,,,,,,,"several Japanese filmmakers including Isao Takahata, Hayao"
,,,,,,,,,,,,,,,,,,"Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai."
10256,ACAD,ACAD-324,1,4,4,The Practice of Design: Ideation to Innovation,C,,Y,14:00,16:50,MW,0,,"Lim, Yihyun",IYH213,0,History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.
10265,ACAD,ACAD-360,1,4,4,Design Strategy: Problem Solving for Organizations,C,,Y,9:00,10:50,MW,0,,"Manos, Matthew",IYH212/213,0,"A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations."
10266,ACAD,ACAD-360,1,4,4,Design Strategy: Problem Solving for Organizations,C,,N,17:00,19:50,MW,0,,,IYH213,0,"A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations."
10271,ACAD,ACAD-377,1,4,4,Industry Practicum II: Designing and Implementing Real-World,C,,Y,15:00,16:50,MW,0,,,IYH210/211,0,Advanced application of skills and concepts learned in ACAD 376.
10272,ACAD,ACAD-415,1,4,4,Dev III: Designing Applications for Emerging Platforms,C,,Y,12:00,13:50,MW,0,,"Lim, Yihyun",IYH210,0,"An accelerated approach to object-oriented programming, including foundations of applications for devices, with a focus on user interface design."
,,,,,,,,,,,,,,,"Bruneau, John",,,
10277,ACAD,ACAD-419,1,2,2,Professional Internship,C,,Y,TBA,TBA,,0,,,,0,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship."
10278,ACAD,ACAD-431,1,4,4,Devices and Systems for Body Computing,C,,Y,16:00,17:50,MW,0,,"Saxon, Leslie, Ann",IYH212,0,"Insights from health devices and enabling software; applying concepts from big data, machine learning and Al to Lifecare data."
,,,,,,,,,,,,,,,"Bruneau, John",,,
10281,ACAD,ACAD-450,1,2,2,Industry and Impact Projects,CL,,Y,10:00,12:50,F,0,,"Wolter, Davina",IYH210,0,"Practicum in which student teams serve as design strategists for industry collaborators; advanced methods and processes to solve problems in collaborative, field-specific environments."
10282,ACAD,ACAD-450,1,2,2,Industry and Impact Projects,CL,,N,10:00,12:50,F,0,,"Wolter, Davina",,0,"Practicum in which student teams serve as design strategists for industry collaborators; advanced methods and processes to solve problems in collaborative, field-specific environments."
10286,ACAD,ACAD-475B,1,4,4,The Garage Experience,C,,Y,12:00,14:50,MW,0,,"Sharkey, Tina",IYH110,0,"Continuation of ACAD 475a. Students refine and perfect outcomes, leading to a pitch/presentation to faculty and industry experts for funding or validation, and critical networking."
10290,ACAD,ACAD-480,1,4,4,Design Research,C,,Y,18:00,19:50,MW,0,,"Lim, Yihyun",IYH213,0,Design research methods and techniques; team-based collaborative lab/field research activities; framework design; research protocols; qualitative data synthesis.
10287,ACAD,ACAD-490,1,1,6,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
10288,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
10289,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
10292,ACAD,ACAD-491,1,1,4,Individual Instruction,C,,N,TBA,TBA,,0,,,OFFICE,0,"Weekly, individual instruction with an Academy professor for deep exploration and study within an Academy core discipline."
10298,ACAD,ACAD-590,1,1,5,Directed Research,C,,N,TBA,TBA,,0,,,,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.
34100,ACAD,IDSN-537,1,4,4,Extended Reality for Fashion,C,,Y,18:00,20:50,T,0,,"Becker, Carsten",IYH110,0,"The intersection of fashion and extended reality in digital fashion design, retail and showcasing experiences and production of sharable and co-creative art."
34707,ACAD,PRIN-504,1,4,4,Aesthetics of Form I,CL,,Y,9:00,11:50,MW,0,,,,0,"In-depth look at what shapes our aesthetic values. Students gain facility in critical dialog, recognition and practice of aesthetic decisions across physical and virtual product platforms."
34730,ACAD,PRIN-520,1,4,4,Creators Studio,CL,,Y,12:00,14:50,MW,0,,,,0,"Research, ideation, design, development and fabrication of products; applied principles of human centered design, blue ocean strategies and product desirability, feasibility and viability."
34742,ACAD,PRIN-526,1,2,2,Virtual Maker Lab,CL,,Y,19:00,20:50,M,0,,,,0,"Making and execution of virtual products; includes explorations of digital and interactive systems and experiences, and products suitable for hybrid or unique applications."
34750,ACAD,PRIN-530,1,4,4,Business Essentials for Product Innovators,CL,,Y,17:30,18:50,MW,0,,,,0,"Foundational concepts, methodologies and techniques for developing and launching products and enterprises; product road-mapping, supply chain, market research and user/consumer insight."
34780,ACAD,PRIN-550,1,2,2,Industry and Impact Projects,CL,,Y,10:00,12:50,F,0,,,,0,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments."
34795,ACAD,PRIN-575B,1,2,2,The Garage Experience,CL,,Y,9:00,11:50,T,0,,,,0,"Continuation of PRIN 575a . Students refine and perfect outcomes, leading to a pitch/presentation to faculty and industry experts for funding or validation and critical networking."
34801,ACAD,PRIN-590,1,1,3,Directed Research,C,,N,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
34800,ACAD,PRIN-590,1,1,3,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
14186,ACCT,ACCT-462,431,2,2,Detecting Fraudulent Financial Reporting,C,,Y,16:00,17:50,TH,0,,,ACC303,0,"Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment."
14291,ACCT,ACCT-572,33,3,3,Corporate Accounting and Reporting,C,,Y,18:30,21:30,T,0,,,JKP202,0,A study of financial reporting and disclosure issues with an
,,,,,,,,,,,,,,,,,,emphasis on the use of corporate financial statements and their
,,,,,,,,,,,,,,,,,,accompanying footnotes. Not open to students with credit in
,,,,,,,,,,,,,,,,,,equivalent subjects.
21911,ANSC,ASCJ-200,1,4,4,Navigating Media and News in the Digital Age,C,A,Y,11:00,12:20,TH,0,,"Kahn, Gabriel",ANNL105A,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
,,,,,,,,,,,,,,,"Trope, Alison, P.",,,
21910,ANSC,ASCJ-200,1,4,4,Navigating Media and News in the Digital Age,C,A,Y,11:00,12:20,TH,0,,"Kahn, Gabriel",ANNL105A,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
,,,,,,,,,,,,,,,"Trope, Alison, P.",,,
21919,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,15:00,15:50,H,0,,,ANN211,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21915,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,11:00,11:50,W,0,,,ANN211,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21917,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,9:00,9:50,H,0,,,ANN211,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21913,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,9:00,9:50,W,0,,,ANN211,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21912,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,13:00,13:50,T,0,,,ANN405,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21916,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,13:00,13:50,W,0,,,ANN405,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21918,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,13:00,13:50,H,0,,,ANN305,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21914,ANSC,ASCJ-200,1,0,0,Navigating Media and News in the Digital Age,L,A,Y,10:00,10:50,W,0,,,ANN211,0,"Students will be engaged as discriminating media/news consumers and contributors. Emphasis on critical skills needed to understand, employ, enjoy and help shape our media landscape."
21920,ANSC,ASCJ-210,1,4,4,Contours of Change in Media and Communication,C,B,Y,14:00,15:20,MW,0,,"Scheer, Robert",ANNL105A,0,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon"
,,,,,,,,,,,,,,,,,,ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.
21923,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,11:00,11:50,W,0,,,ANN209,0,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon"
,,,,,,,,,,,,,,,,,,ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.
21921,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,9:00,9:50,T,0,,,ANN405,0,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon"
,,,,,,,,,,,,,,,,,,ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.
21922,ANSC,ASCJ-210,1,0,0,Contours of Change in Media and Communication,D,B,Y,10:00,10:50,T,0,,,ANN405,0,"Provides an introduction to cultivating a curious, critical, and proactive approach to the challenges of social change. Students will be encouraged to develop an expansive and critical definition and understanding of change as it relates to the role of media and communication in producing and respon"
,,,,,,,,,,,,,,,,,,ding to political and cultural transformations that shape our status as citizens and our ideas of citizenship.
21701,ANSC,CMGT-500,169,4,4,Managing Communication,C,,Y,TBA,TBA,,0,A,,ONLINE,0,"Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems."
21704,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,14:00,16:50,H,0,,"Koyama, Monica",ASC231,0,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
,,,,,,,,,,,,,,,"Lee, Ben",,,
,,,,,,,,,,,,,,,"Shipley, Brad, Allen",,,
21702,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,14:00,16:50,T,0,,"Koyama, Monica",ASC231,0,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
,,,,,,,,,,,,,,,"Lee, Ben",,,
,,,,,,,,,,,,,,,"Shipley, Brad, Allen",,,
21705,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,18:00,20:50,H,0,,"Koyama, Monica",ASC204,0,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
,,,,,,,,,,,,,,,"Lee, Ben",,,
,,,,,,,,,,,,,,,"Shipley, Brad, Allen",,,
21703,ANSC,CMGT-501,1,4,4,Communication Management Pro-Seminar,C,,Y,18:00,20:50,T,0,,"Koyama, Monica",ASC204,0,"Theories, core concepts and practice in management of communication; analysis based on cases, structured and semi-structured data, historical research and participant observation."
,,,,,,,,,,,,,,,"Lee, Ben",,,
,,,,,,,,,,,,,,,"Shipley, Brad, Allen",,,
21707,ANSC,CMGT-502,169,4,4,Strategic Corporate Communication,C,,Y,TBA,TBA,,0,A,,ONLINE,0,"Roles, responsibilities and requirements of communication functions within corporations; design and implementation of communication plans; strategic message production for internal and external audiences."
21710,ANSC,CMGT-505,1,4,4,Communication in Work Settings,C,,Y,18:00,20:50,T,0,,"Keough, Colleen",ASC331,0,"How work settings determine communication: basic structures of communication, influence of technology, social contexts and physical space. Applications to management."
21713,ANSC,CMGT-507,1,4,4,Information Management: Analysis and Visualization,C,,Y,14:00,16:50,T,0,,"Zhou, Liuning",ANN406,0,"Conceptual frameworks for analyses and visualization of information and data. Principles and strategies for data transformation, intermediate statistical analyses, data-based presentation, sense-making."
21718,ANSC,CMGT-510,60,4,4,"Communication, Values, Attitudes and Behavior",C,,Y,14:00,16:50,H,0,A,"Murphy, Sheila, Teresa",ONLINE,0,Theory and research on value and attitude formation and change; consequences for communication and behavior.
21719,ANSC,CMGT-510,169,4,4,"Communication, Values, Attitudes and Behavior",C,,Y,TBA,TBA,,0,A,,ONLINE,0,Theory and research on value and attitude formation and change; consequences for communication and behavior.
21721,ANSC,CMGT-513,1,4,4,Communication Ethics for New Media and Technology,C,,Y,14:00,16:50,W,0,,"Bay, Morten",ANN409ABC,0,"Ethics for new media and technology. Leverages case studies, historical analysis, observational analysis. Equips data-oriented communication practitioners to be ethical stewards of data."
21722,ANSC,CMGT-514,1,4,4,Analytical Tools for Communication Decisions,C,,Y,13:00,15:50,M,0,,"Curtis, Mathew, Henry",ASC331,0,"Measurement and advanced statistical analysis with foundational and advanced data gathering techniques, including data mining. Statistical inferences for and effective communication about solutions."
21723,ANSC,CMGT-514,60,4,4,Analytical Tools for Communication Decisions,C,,Y,17:00,19:50,M,0,,"Curtis, Mathew, Henry",ONLINE,0,"Measurement and advanced statistical analysis with foundational and advanced data gathering techniques, including data mining. Statistical inferences for and effective communication about solutions."
21720,ANSC,CMGT-516,1,4,4,Communication Strategies For Innovators and Entrepreneurs,C,,Y,11:00,13:50,M,0,,"Ferasat, Keemia",ANN309,0,"Communication research, analysis and strategies for new ventures to establish spread and acceptance in saturated mediascapes. Help founders find persuasive voice and identity."
21726,ANSC,CMGT-517,1,4,4,Communication in the Luxury Fashion Industry,C,,Y,14:00,16:50,M,0,,"Brunswick, Alexis",ASCG34,0,"Examines luxury fashion marketing communication, focusing on connecting with the audience. Topics include history of the industry, media channels, digital platforms and communicating values."
21727,ANSC,CMGT-517,1,4,4,Communication in the Luxury Fashion Industry,C,,Y,17:30,20:20,M,0,,"Brunswick, Alexis",ASCG34,0,"Examines luxury fashion marketing communication, focusing on connecting with the audience. Topics include history of the industry, media channels, digital platforms and communicating values."
21728,ANSC,CMGT-518,748,2,2,Principles of Communicating in the Self-Care Industries,C,,Y,18:00,20:50,W,0,A,"Houghton, Jennifer, Stingle",ONLINE,0,"Foundational examination of beauty, personal care and wellness industries through brand strategy, promotion, advertising, social media and influencer marketing."
21729,ANSC,CMGT-519,758,2,2,Analyzing Communication Strategies: Self-Care Segments,C,,Y,18:00,20:50,W,0,A,"Houghton, Jennifer, Stingle",ONLINE,0,"Covers various segments of beauty, personal care and wellness brands and how they utilize communication strategies to differentiate products and persuade targeted consumers."
21737,ANSC,CMGT-528,1,4,4,Website Strategies for Organizations,C,,Y,14:00,16:50,H,0,,"Dzida, Sarah, R.",ANNL115,0,"Assess organizations' online needs, to examine the use of the Internet in terms of electronic commerce and global pressures, and design Web page strategies."
21738,ANSC,CMGT-529,1,4,4,Creator Culture and Industries,C,,Y,18:30,21:20,M,0,,"Craig, David",ASC204,0,"Maps the evolution of global and Chinese creator industries, as distinguished by social media entrepreneurs, online cultural producers, creators, influencers, live streamers, KOLs and wanghong."
21739,ANSC,CMGT-530,60,4,4,Social Dynamics of Communication Technologies,C,,Y,14:00,16:50,H,0,A,"Dunbar-Hester, Christina",ONLINE,0,"Impact of television, satellites, computers, and other new technologies; competing theories about the role of technology in society; historical effects of introducing new technologies."
21745,ANSC,CMGT-536,1,4,4,Team Communication and Leadership,C,,N,18:30,21:20,W,0,,,,0,Theories of effective team communication and leadership; case
,,,,,,,,,,,,,,,,,,studies of effective and ineffective teams and leaders; teamwork
,,,,,,,,,,,,,,,,,,and communication development; and distributed work teams.
21746,ANSC,CMGT-537,1,4,4,"The Industry, Science and Culture of Video Games",C,,Y,18:00,20:50,W,0,,"Williams, Dmitri",ANN406,0,"History, social dynamics, and cultural impact of video games;"
,,,,,,,,,,,,,,,,,,developments in technology and design; issues confronting the
,,,,,,,,,,,,,,,,,,video game industry and organizations.
21752,ANSC,CMGT-540,169,4,4,Uses of Communication Research,C,,Y,TBA,TBA,,0,A,,ONLINE,0,"Data collection and elementary statistical analysis in communication management. Methods include surveys, focus groups, content analysis, experiments, secondary data sources."
21754,ANSC,CMGT-541,1,4,4,Integrated Communication Strategies,C,,Y,14:00,16:50,H,0,,"Kosten, Marina, T.",ANN210,0,Communication strategies for product marketing and advertising; communication's role in developing domestic and international marketplaces; practical applications of persuasion theory.
21758,ANSC,CMGT-544,1,4,4,Creating Organizational Identity: Meaning Through Messages,C,,Y,18:30,21:20,T,0,,"Uwins, Simon, C.",ANN309,0,Use of rhetorical theories and communication models to create
,,,,,,,,,,,,,,,,,,organizational identification with internal and external
,,,,,,,,,,,,,,,,,,audiences; the role of values and ethics in creating identities.
21759,ANSC,CMGT-544,1,4,4,Creating Organizational Identity: Meaning Through Messages,C,,Y,14:00,16:50,T,0,,"Hirsch, Jeffrey",ANN409ABC,0,Use of rhetorical theories and communication models to create
,,,,,,,,,,,,,,,,,,organizational identification with internal and external
,,,,,,,,,,,,,,,,,,audiences; the role of values and ethics in creating identities.
21761,ANSC,CMGT-546,1,4,4,Sports Media and Society,C,,Y,14:00,16:50,M,0,,"Markgraf, Eric, Bruce",ANN210,0,"History and evolution of sports media industry; traditional, new"
,,,,,,,,,,,,,,,,,,and alternative sports media; globalization of sports; sports
,,,,,,,,,,,,,,,,,,promotions and personalities.
21762,ANSC,CMGT-547,60,4,4,"Distribution of Recordings: Media, Retail and Online Channel",C,,Y,18:30,21:20,M,0,,"Borg, Robert",ONLINE,0,"Cultural and critical analyses of radio and recording industry development and business strategy; influence of legal and regulatory institutions, impact of new forms of distribution."
21765,ANSC,CMGT-550,1,4,4,Hollywood 3.0-Entertainment Industry in the Convergence Age,C,,Y,18:00,20:50,W,0,,"Feldman, Joshua, Todd",ASC228,0,In-depth analysis of the challenges confronting the entertainment industry in the wake of media convergence including a survey of media convergence history and theories.
21766,ANSC,CMGT-551,1,4,4,Communicating Entertainment Media Identities,C,,Y,18:30,21:20,H,0,,"Gungormez, Allan, C",ANN211,0,"Understanding dynamics in entertainment markets enabled by emerging digital technologies; broad and niche strategies to target appropriate audiences, building audience engagement with entertainment content identities."
21763,ANSC,CMGT-552,1,4,4,"Visual Storytelling: Production, Management and Culture",C,,Y,18:30,21:20,H,0,,"Fratto, Adam",ANN309,0,"Focuses on management, production and distribution of scripted film, television and web stories to understand visual storytelling as a communicative strategy for advertising and education."
21768,ANSC,CMGT-553,1,4,4,Marketing Communication Theory and Application,C,,Y,17:30,20:20,M,0,,"Pade, Courtney",ASC240,0,Applies communication theory and research to understand emerging marketing communication topics and issues.
21769,ANSC,CMGT-554,1,4,4,Copywriting and Creativity,C,,Y,18:30,21:20,M,0,,"Markgraf, Eric, Bruce",ANN210,0,Foundational and advanced practices for copywriting and related design incommunication; integrated analysis of concepts and pragmatics surrounding creativity forcommunication effectiveness
21774,ANSC,CMGT-555,1,4,4,Online Marketing Communication Development and Analysis,C,,Y,18:00,20:50,T,0,,"Framroze, Mayanna",ANNL101,0,"Analysis and development of online communication and marketing campaigns; exploration of current Internet best practices in social media, SEM, privacy, location-based marketing, and online measurement."
21770,ANSC,CMGT-555,1,4,4,Online Marketing Communication Development and Analysis,C,,Y,18:00,20:50,M,0,,"Guest, Rich",ANNL116,0,"Analysis and development of online communication and marketing campaigns; exploration of current Internet best practices in social media, SEM, privacy, location-based marketing, and online measurement."
21776,ANSC,CMGT-556,60,4,4,Global Marketing Communication,C,,Y,18:30,21:20,T,0,,"Amiune, Marcela, Victoria",ONLINE,0,Communication strategies in a global marketing environment; analysis of global ?Çô local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage
21778,ANSC,CMGT-556,169,4,4,Global Marketing Communication,C,,Y,TBA,TBA,,0,A,,ONLINE,0,Communication strategies in a global marketing environment; analysis of global ?Çô local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage
21775,ANSC,CMGT-556,1,4,4,Global Marketing Communication,C,,Y,14:00,16:50,H,0,,"Skidmore, Ted",ASC328,0,Communication strategies in a global marketing environment; analysis of global ?Çô local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage
21779,ANSC,CMGT-558,1,4,4,International Entertainment Marketplaces,C,,Y,14:00,16:50,T,0,,"Skidmore, Ted",ASC328,0,Global influences on linear and streaming television and theatrical. Case analyses of organizations and content focusing on interconnected partnerships and promotions to attract local audiences.
21783,ANSC,CMGT-564,1,4,4,Methodological Fundamentals of Big Data in Communication,C,,Y,18:30,21:20,H,0,,"Shackleton, Drew, Harrison",ANN210,0,"Understanding of fundamental methodological issues about big data: types, platforms, tools, analysis techniques, and relevant theoretical frameworks."
21782,ANSC,CMGT-564,60,4,4,Methodological Fundamentals of Big Data in Communication,C,,N,18:30,21:20,W,0,,,ONLINE,0,"Understanding of fundamental methodological issues about big data: types, platforms, tools, analysis techniques, and relevant theoretical frameworks."
21786,ANSC,CMGT-568,1,4,4,Influencer Strategies,C,,Y,18:00,20:50,W,0,,"Nager, Freddy, Tran",ANNL116,0,"Students master skills and strategies to distinguish the truly influential from the merely popular, manage international influencer campaigns and develop successful influencers."
21793,ANSC,CMGT-575,169,4,4,Communicating in Crisis,C,,Y,TBA,TBA,,0,A,,ONLINE,0,"How to use effective organizational communication to facilitate crisis prevention, provide leadership during a crisis and manage organizational change."
21795,ANSC,CMGT-577,1,4,4,Communicating Corporate Social Responsibility,C,,Y,18:30,21:20,T,0,,"Saralegui, Catie",ASC328,0,"Evolution, models, metrics and stakeholders. Key communication issues in designing and implementing initiatives, CSR reporting, strategic partnerships and online communities. Analysis of communication paradoxes."
21804,ANSC,CMGT-586,1,4,4,"Entertainment Media: Content, Theory, and Industry Practices",C,,Y,18:30,21:20,T,0,,"Craig, David",ASC231,0,Examination of social scientific theory and research on patterns of media content; effects of mass media exposure on individuals and society; and industry practices.
,,,,,,,,,,,,,,,"Koyama, Monica",,,
