"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level","clean_course_desc"
2638,"LAW-211","Gould School of Law",1,"Intellectual Property and Technology","Desai, Neil","Examines how American law protects and facilitates intellectual property and its modern utility. Provides a practical understanding of laws regulating patents, copyrights and trademarks.","","LAW",20251,0,1,"SP25","Intellectual Property and Technology -  - Examines how American law protects and facilitates intellectual property and its modern utility. Provides a practical understanding of laws regulating patents, copyrights and trademarks.","AY25","SP25","undergrad lower division","intellectual property and technology      examines how american law protects and facilitates intellectual property and its modern utility  provides a practical understanding of laws regulating patents  copyrights and trademarks "
2652,"LAW-498","Gould School of Law",1,"Law Internship","","Intensive experience with a law-related non-profit organization, or public agency.","","LAW",20251,0,1,"SP25","Law Internship -  - Intensive experience with a law-related non-profit organization, or public agency.","AY25","SP25","undergrad upper division","law internship      intensive experience with a law related non profit organization  or public agency "
2653,"LAW-212","Gould School of Law",1,"Immigration Law for a New America","Reisz, Jean","Examines current immigration law in America, the normative debates over immigration policies and the role the government plays in expanding or limiting immigration rights.","","LAW",20251,0,1,"SP25","Immigration Law for a New America -  - Examines current immigration law in America, the normative debates over immigration policies and the role the government plays in expanding or limiting immigration rights.","AY25","SP25","undergrad lower division","immigration law for a new america      examines current immigration law in america  the normative debates over immigration policies and the role the government plays in expanding or limiting immigration rights "
2655,"LAW-492","Gould School of Law",1,"Undergraduate Law Review","","Introduces students to the basics of legal writing and research, with a focus on legal scholarship and law review-type journal articles.","","LAW",20251,0,1,"SP25","Undergraduate Law Review -  - Introduces students to the basics of legal writing and research, with a focus on legal scholarship and law review-type journal articles.","AY25","SP25","undergrad upper division","undergraduate law review      introduces students to the basics of legal writing and research  with a focus on legal scholarship and law review type journal articles "
2657,"LAW-355","Gould School of Law",1,"Law and Homelessness","Sharma, Deepika","Examines the current housing crisis by interweaving tenant/landlord law, local ordinances, historical exclusionary policies and reviewing current reporting and scholarship.","","LAW",20251,0,1,"SP25","Law and Homelessness -  - Examines the current housing crisis by interweaving tenant/landlord law, local ordinances, historical exclusionary policies and reviewing current reporting and scholarship.","AY25","SP25","undergrad upper division","law and homelessness      examines the current housing crisis by interweaving tenant landlord law  local ordinances  historical exclusionary policies and reviewing current reporting and scholarship "
2662,"LAW-101","Gould School of Law",1,"Law and the U.S. Constitution in Global History","","By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","","LAW",20251,0,15,"SP25","Law and the U.S. Constitution in Global History -  - By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","AY25","SP25","undergrad lower division","law and the u s  constitution in global history      by examining key constitutional moments involving race  rights  and revolutions  students will explore how legal meaning changes over time "
2668,"LAW-202","Gould School of Law",1,"Wrongful Convictions","","Explores the phenomenon of wrongful convictions from a variety of fields, including psychology, criminology, policing and law, and through documentary films of real cases. Seeks solutions to increase accuracy of criminal process.","","LAW",20251,0,1,"SP25","Wrongful Convictions -  - Explores the phenomenon of wrongful convictions from a variety of fields, including psychology, criminology, policing and law, and through documentary films of real cases. Seeks solutions to increase accuracy of criminal process.","AY25","SP25","undergrad lower division","wrongful convictions      explores the phenomenon of wrongful convictions from a variety of fields  including psychology  criminology  policing and law  and through documentary films of real cases  seeks solutions to increase accuracy of criminal process "
2669,"LAW-203","Gould School of Law",1,"The American Criminal Justice System: A Critical Intro","Simon, Dan","The first part introduces students to the criminal systems objectives, design, institutions and safeguards. The second part explores how this system has gone awry.","","LAW",20251,0,1,"SP25","The American Criminal Justice System: A Critical Intro -  - The first part introduces students to the criminal systems objectives, design, institutions and safeguards. The second part explores how this system has gone awry.","AY25","SP25","undergrad lower division","the american criminal justice system  a critical intro      the first part introduces students to the criminal systems objectives  design  institutions and safeguards  the second part explores how this system has gone awry "
2690,"LAW-311","Gould School of Law",1,"Fundamentals of Entertainment Law","","Examines key legal principles governing the entertainment industry by exploring legal challenges faced by professionals in music, film, sports, gaming and other areas of entertainment.","","LAW",20251,0,1,"SP25","Fundamentals of Entertainment Law -  - Examines key legal principles governing the entertainment industry by exploring legal challenges faced by professionals in music, film, sports, gaming and other areas of entertainment.","AY25","SP25","undergrad upper division","fundamentals of entertainment law      examines key legal principles governing the entertainment domain by exploring legal challenges faced by professionals in music  film  sports  gaming and other areas of entertainment "
3236,"LAW-604","Gould School of Law",1,"Real Estate Transactions Problems","","Selected problems to supplement LAW 605.","","LAW",20251,0,1,"SP25","Real Estate Transactions Problems -  - Selected problems to supplement LAW 605.","AY25","SP25","graduate","real estate transactions problems      selected problems to supplement law 605 "
4126,"LAW-623","Gould School of Law",1,"Family Law","","Creating, regulating and dissolving family relationships. Explore moral and power relations among men, women, children, and the State. Develop skills to help clients in families.","","LAW",20251,0,1,"SP25","Family Law -  - Creating, regulating and dissolving family relationships. Explore moral and power relations among men, women, children, and the State. Develop skills to help clients in families.","AY25","SP25","graduate","family law      creating  regulating and dissolving family relationships  explore moral and power relations among men  women  children  and the state  develop skills to help clients in families "
4403,"LAW-708","Gould School of Law",1,"Contract Drafting, Analysis and Negotiation","","Covers the fundamentals of reviewing and analyzing business contracts and strategies for negotiating business issues with an emphasis on developing practical skills. Open only to Law students.","","LAW",20251,0,1,"SP25","Contract Drafting, Analysis and Negotiation -  - Covers the fundamentals of reviewing and analyzing business contracts and strategies for negotiating business issues with an emphasis on developing practical skills. Open only to Law students.","AY25","SP25","graduate","contract drafting  analysis and negotiation      covers the fundamentals of reviewing and analyzing business contracts and strategies for negotiating business issues with an emphasis on developing practical skills  open only to law students "
4522,"LAW-520","Gould School of Law",1,"Introduction to U.S. Legal System","","The basic structure of government in the U.S., including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems.  A comparative perspective on selected substantive and procedural matters, such as common law reasoning, jury trials, adversary process, and various aspects of civil procedure.  Open to incoming LL.M. students only.","","LAW",20251,0,2,"SP25","Introduction to U.S. Legal System -  - The basic structure of government in the U.S., including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems.  A comparative perspective on selected substantive and procedural matters, such as common law reasoning, jury trials, adversary process, and various aspects of civil procedure.  Open to incoming LL.M. students only.","AY25","SP25","graduate","introduction to u s  legal system      the basic structure of government in the u s   including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems   a comparative perspective on selected substantive and procedural matters  such as common law reasoning  jury trials  adversary process  and various aspects of civil procedure   open to incoming ll m  students only "
4524,"LAW-521","Gould School of Law",1,"Topics in American Law","","This course will provide LL.M. and M.C.L. students with a survey of various topics in American law including criminal law, evidence, family law, constitutional law, torts, wills and trusts, administrative law and property law.  Open to LL.M. and M.C.L. students only.","","LAW",20251,0,2,"SP25","Topics in American Law -  - This course will provide LL.M. and M.C.L. students with a survey of various topics in American law including criminal law, evidence, family law, constitutional law, torts, wills and trusts, administrative law and property law.  Open to LL.M. and M.C.L. students only.","AY25","SP25","graduate","topics in american law      this course will provide ll m  and m c l  students with a survey of various topics in american law including criminal law  evidence  family law  constitutional law  torts  wills and trusts  administrative law and property law   open to ll m  and m c l  students only "
4526,"LAW-551","Gould School of Law",1,"Intellectual Property Trademark","","Explores U.S. trademark law. Topics include trademark infringement and dilution, trademark selection, clearance, enforcement, federal registration and maintenance, the tension between trademark rights and the First Amendment, trademark licensing and other transactions, trademark fair use and the rig ht of publicity.","","LAW",20251,0,2,"SP25","Intellectual Property Trademark -  - Explores U.S. trademark law. Topics include trademark infringement and dilution, trademark selection, clearance, enforcement, federal registration and maintenance, the tension between trademark rights and the First Amendment, trademark licensing and other transactions, trademark fair use and the rig ht of publicity.","AY25","SP25","graduate","intellectual property trademark      explores u s  trademark law  topics include trademark infringement and dilution  trademark selection  clearance  enforcement  federal registration and maintenance  the tension between trademark rights and the first amendment  trademark licensing and other transactions  trademark fair use and the rig ht of publicity "
4528,"LAW-559","Gould School of Law",1,"Human Resource Compliance","","Provides an overview of human resource related law, and various legal issues involved in the employment relationship.","","LAW",20251,0,2,"SP25","Human Resource Compliance -  - Provides an overview of human resource related law, and various legal issues involved in the employment relationship.","AY25","SP25","graduate","human resource compliance      provides an overview of human resource related law  and various legal issues involved in the employment relationship "
4530,"LAW-567","Gould School of Law",1,"Introduction to Litigation in U.S. Courts","","Provides an overview of the United States legal system for those unfamiliar with common law courts, including the mechanics of the U.S. Court system in both criminal and civil courts, as well as more detailed analysis of torts and intellectual property disputes.","","LAW",20251,0,1,"SP25","Introduction to Litigation in U.S. Courts -  - Provides an overview of the United States legal system for those unfamiliar with common law courts, including the mechanics of the U.S. Court system in both criminal and civil courts, as well as more detailed analysis of torts and intellectual property disputes.","AY25","SP25","graduate","introduction to litigation in u s  courts      provides an overview of the united states legal system for those unfamiliar with common law courts  including the mechanics of the u s  court system in both criminal and civil courts  as well as more detailed analysis of torts and intellectual property disputes "
4531,"LAW-598","Gould School of Law",1,"Regulatory Compliance","","Provides an overview of regulatory compliance law and the ways that various organizations ensure compliance with governing laws and regulations.","","LAW",20251,0,2,"SP25","Regulatory Compliance -  - Provides an overview of regulatory compliance law and the ways that various organizations ensure compliance with governing laws and regulations.","AY25","SP25","graduate","regulatory compliance      provides an overview of regulatory compliance law and the ways that various organizations ensure compliance with governing laws and regulations "
4533,"LAW-603","Gould School of Law",1,"Business Organizations","","Organization of economic activity especially the modern corporation as institutions of social power. The roles of managers, owners, and regulatory agencies in shaping processes ofdecision making.","","LAW",20251,0,1,"SP25","Business Organizations -  - Organization of economic activity especially the modern corporation as institutions of social power. The roles of managers, owners, and regulatory agencies in shaping processes ofdecision making.","AY25","SP25","graduate","business organizations      organization of economic activity especially the modern corporation as institutions of social power  the roles of managers  owners  and regulatory agencies in shaping processes ofdecision making "
4534,"LAW-613","Gould School of Law",1,"Corporate Governance","","Examines the purpose, evolution and history of corporate governance standards, priorities and culture of boards, shareholder/stakeholder engagement, and corporate social responsibility, as it relates to law.","","LAW",20251,0,1,"SP25","Corporate Governance -  - Examines the purpose, evolution and history of corporate governance standards, priorities and culture of boards, shareholder/stakeholder engagement, and corporate social responsibility, as it relates to law.","AY25","SP25","graduate","corporate governance      examines the purpose  evolution and history of corporate governance standards  priorities and culture of boards  shareholder stakeholder engagement  and corporate social responsibility  as it relates to law "
4535,"LAW-658","Gould School of Law",1,"Mergers and Acquisitions","","Problems of integrating the corporate, securities, tax, business, antitrust, accounting and contractual aspects of corporate mergers and aquisitions.","","LAW",20251,0,2,"SP25","Mergers and Acquisitions -  - Problems of integrating the corporate, securities, tax, business, antitrust, accounting and contractual aspects of corporate mergers and aquisitions.","AY25","SP25","graduate","mergers and acquisitions      problems of integrating the corporate  securities  tax  business  antitrust  accounting and contractual aspects of corporate mergers and aquisitions "
4537,"LAW-663","Gould School of Law",1,"Health Care Law, Business and Finance","","Covers health care business fundamentals, financial risk and return, capital budgeting, and long-term financial analysis and planning, as it relates to law.","","LAW",20251,0,1,"SP25","Health Care Law, Business and Finance -  - Covers health care business fundamentals, financial risk and return, capital budgeting, and long-term financial analysis and planning, as it relates to law.","AY25","SP25","graduate","health care law  business and finance      covers health care business fundamentals  financial risk and return  capital budgeting  and long term financial analysis and planning  as it relates to law "
4538,"LAW-710","Gould School of Law",1,"Contract Drafting and Analysis","","Students present to the class their assessment of assigned contracts, then draft their own contracts, interpret a complex contract, followed by team-based rewrites.","","LAW",20251,0,2,"SP25","Contract Drafting and Analysis -  - Students present to the class their assessment of assigned contracts, then draft their own contracts, interpret a complex contract, followed by team-based rewrites.","AY25","SP25","graduate","contract drafting and analysis      students present to the class their assessment of assigned contracts  then draft their own contracts  interpret a complex contract  followed by team based rewrites "
4540,"LAW-826","Gould School of Law",1,"Employment Dispute Mediation","","Provides hands-on experience in mediation of the complex issues of disability, wage and hour, sex and sex harassment, age, race, religion, and national origin.","","LAW",20251,0,1,"SP25","Employment Dispute Mediation -  - Provides hands-on experience in mediation of the complex issues of disability, wage and hour, sex and sex harassment, age, race, religion, and national origin.","AY25","SP25","graduate","employment dispute mediation      provides hands on experience in mediation of the complex issues of disability  wage and hour  sex and sex harassment  age  race  religion  and national origin "
4541,"LAW-510","Gould School of Law",1,"Legal Research","","Examination of the basic sources of law for federal and California jurisdictions, utilizing a vast array of sources from books to computer-assisted research and analyzing research methodology and techniques. Graded CR/D/F.","","LAW",20251,0,1,"SP25","Legal Research -  - Examination of the basic sources of law for federal and California jurisdictions, utilizing a vast array of sources from books to computer-assisted research and analyzing research methodology and techniques. Graded CR/D/F.","AY25","SP25","graduate","legal research      examination of the basic sources of law for federal and california jurisdictions  utilizing a vast array of sources from books to computer assisted research and analyzing research methodology and techniques  graded cr d f "
8775,"PHYS-750O","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Off Campus Studies","","Coursework taken on campus at Caltech as part of the Caltech-USC cross-registration program.  Graded CR/NC.","","PHYS",20251,0,1,"SP25","Off Campus Studies -  - Coursework taken on campus at Caltech as part of the Caltech-USC cross-registration program.  Graded CR/NC.","AY25","SP25","graduate","off campus studies      coursework taken on campus at caltech as part of the caltech usc cross registration program   graded cr nc "
9000,"HUC-581","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Global Innovation Seminar: Windmueller Israel Seminar","","","","HUC",20251,0,2,"SP25","Global Innovation Seminar: Windmueller Israel Seminar -  - ","AY25","SP25","graduate","global innovation seminar  windmueller israel seminar      "
9001,"HUC-542B","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Supervised Fieldwork","","Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","","HUC",20251,0,1,"SP25","Supervised Fieldwork -  - Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","AY25","SP25","graduate","supervised fieldwork      coursework offered by and taken at hebrew union college  coursework appears on usc transcript via formalized agreement "
9002,"HUC-545B","Dana and David Dornsife College of Letters, Arts and Sciences",18,"JCS Practicum Section II","","Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","","HUC",20251,0,1,"SP25","JCS Practicum Section II -  - Coursework offered by and taken at Hebrew Union College. Coursework appears on USC transcript via formalized agreement.","AY25","SP25","graduate","jcs practicum section ii      coursework offered by and taken at hebrew union college  coursework appears on usc transcript via formalized agreement "
9008,"HUC-541","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Field Work","","","","HUC",20251,0,1,"SP25","Field Work -  - ","AY25","SP25","graduate","field work      "
9009,"HUC-545","Dana and David Dornsife College of Letters, Arts and Sciences",18,"Practicum","","Course owned and taught by Hebrew Union College faculty.","","HUC",20251,0,1,"SP25","Practicum -  - Course owned and taught by Hebrew Union College faculty.","AY25","SP25","graduate","practicum      course owned and taught by hebrew union college faculty "
10104,"ALI-225","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Writing Skills I","","Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,1,"SP25","Academic and Professional Writing Skills I -  - Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division","academic and professional writing skills i      required for international students whose writing skills are assessed to be at the low intermediate level by the international student english examination  ise  or previous ali course "
10106,"ALI-234","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Academic and Professional Speaking Skills II","","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","","ALI",20251,0,4,"SP25","Academic and Professional Speaking Skills II -  - Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","AY25","SP25","undergrad lower division","academic and professional speaking skills ii      required for international students whose oral skills are assessed to be at the intermediate level by the international student english examination  ise  or previous ali course "
