"document","courseID","semester","year","keyword","goal","color","freq"
"401","ACCT-533","SP25","AY25","tax planning",8,"#A21942",2
"402","ACCT-540","SP25","AY25","ai",9,"#FD6925",1
"402","ACCT-540","SP25","AY25","innovation",9,"#FD6925",1
"403","ACCT-542","SP25","AY25","fraud",16,"#00689D",3
"403","ACCT-542","SP25","AY25","financial",8,"#A21942",1
"404","ACCT-548","SP25","AY25",NA,NA,NA,NA
"405","ACCT-551T","SP25","AY25","companies",8,"#A21942",1
"406","ACCT-557","SP25","AY25","fraud",16,"#00689D",1
"406","ACCT-557","SP25","AY25","financial",8,"#A21942",2
"407","ACCT-559","SP25","AY25","financial",8,"#A21942",1
"407","ACCT-559","SP25","AY25","industries",9,"#FD6925",1
"407","ACCT-559","SP25","AY25","companies",8,"#A21942",1
"410","ACCT-570T","SP25","AY25","property tax",1,"#E5243B",1
"410","ACCT-570T","SP25","AY25","taxes",8,"#A21942",3
"409","ACCT-571T","SP25","AY25","shelters",1,"#E5243B",1
"409","ACCT-571T","SP25","AY25","compensation",8,"#A21942",1
"409","ACCT-571T","SP25","AY25","investment",1,"#E5243B",1
"409","ACCT-571T","SP25","AY25","investment",8,"#A21942",1
"409","ACCT-571T","SP25","AY25","law",16,"#00689D",1
"411","ACCT-572","SP25","AY25","financial",8,"#A21942",2
"408","ACCT-574","SP25","AY25","financial",8,"#A21942",2
"408","ACCT-574","SP25","AY25","corporate governance",16,"#00689D",2
"408","ACCT-574","SP25","AY25","corporate governance",8,"#A21942",2
"412","ACCT-580T","SP25","AY25",NA,NA,NA,NA
"413","ACCT-581","SP25","AY25","financial",8,"#A21942",3
"413","ACCT-581","SP25","AY25","valuation",8,"#A21942",1
"414","ACCT-583","SP25","AY25","taxes",8,"#A21942",1
"414","ACCT-583","SP25","AY25","financial",8,"#A21942",1
"415","ACCT-584","SP25","AY25","wealth",1,"#E5243B",1
"415","ACCT-584","SP25","AY25","death",16,"#00689D",1
"416","ACCT-595","SP25","AY25",NA,NA,NA,NA
"418","ACCT-611","SP25","AY25",NA,NA,NA,NA
"419","ACCT-621","SP25","AY25",NA,NA,NA,NA
"2657","ACMD-502","SP25","AY25","well being",3,"#4C9F38",1
"2657","ACMD-502","SP25","AY25","health professions",3,"#4C9F38",1
"2657","ACMD-502","SP25","AY25","medicine",3,"#4C9F38",2
"2657","ACMD-502","SP25","AY25","education",4,"#C5192D",1
"2658","ACMD-503","SP25","AY25","health professions",3,"#4C9F38",1
"2658","ACMD-503","SP25","AY25","medical",3,"#4C9F38",1
"2658","ACMD-503","SP25","AY25","organizational change",16,"#00689D",1
"2658","ACMD-503","SP25","AY25","violent",16,"#00689D",1
"2658","ACMD-503","SP25","AY25","education",4,"#C5192D",1
"2660","ACMD-511","SP25","AY25","health professions",3,"#4C9F38",1
"2660","ACMD-511","SP25","AY25","education",4,"#C5192D",1
"2660","ACMD-511","SP25","AY25","medicine",3,"#4C9F38",1
"2659","ACMD-512","SP25","AY25","patient care",3,"#4C9F38",1
"2659","ACMD-512","SP25","AY25","medicine",3,"#4C9F38",1
"2661","ACMD-514","SP25","AY25","health professions",3,"#4C9F38",1
"2661","ACMD-514","SP25","AY25","medicine",3,"#4C9F38",1
"2661","ACMD-514","SP25","AY25","accreditation",4,"#C5192D",2
"2662","ACMD-591","SP25","AY25","innovations",9,"#FD6925",2
"2662","ACMD-591","SP25","AY25","medicine",3,"#4C9F38",1
"2662","ACMD-591","SP25","AY25","health professions",3,"#4C9F38",1
"2662","ACMD-591","SP25","AY25","education",4,"#C5192D",1
"2662","ACMD-591","SP25","AY25","innovation",9,"#FD6925",3
"2663","ACMD-592","SP25","AY25","medicine",3,"#4C9F38",2
"2663","ACMD-592","SP25","AY25","innovation",9,"#FD6925",2
"2664","ACMD-593","SP25","AY25",NA,NA,NA,NA
"2665","ACMD-604","SP25","AY25","educational",4,"#C5192D",2
"2665","ACMD-604","SP25","AY25","health professions",3,"#4C9F38",1
"2665","ACMD-604","SP25","AY25","financial",8,"#A21942",1
"2665","ACMD-604","SP25","AY25","schools",4,"#C5192D",1
"2665","ACMD-604","SP25","AY25","medical",3,"#4C9F38",2
"2665","ACMD-604","SP25","AY25","medicine",3,"#4C9F38",1
"2665","ACMD-604","SP25","AY25","education",4,"#C5192D",3
"3408","ADSC-250","SP25","AY25","addiction",3,"#4C9F38",3
"3409","ADSC-505B","SP25","AY25","addiction",3,"#4C9F38",2
"2864","AEST-100B","SP25","AY25","aerospace",9,"#FD6925",1
"2866","AEST-110B","SP25","AY25",NA,NA,NA,NA
"2867","AEST-200B","SP25","AY25","aerospace",9,"#FD6925",2
"2868","AEST-210B","SP25","AY25",NA,NA,NA,NA
"2865","AEST-220B","SP25","AY25",NA,NA,NA,NA
"2869","AEST-300B","SP25","AY25","aerospace",9,"#FD6925",1
"2870","AEST-310B","SP25","AY25","leadership and management",16,"#00689D",1
"2871","AEST-400B","SP25","AY25","political",16,"#00689D",1
"2871","AEST-400B","SP25","AY25","policy",16,"#00689D",2
"2871","AEST-400B","SP25","AY25","aerospace",9,"#FD6925",2
"2871","AEST-400B","SP25","AY25","national security",16,"#00689D",3
"2871","AEST-400B","SP25","AY25","justice",16,"#00689D",1
"2872","AEST-410B","SP25","AY25",NA,NA,NA,NA
"2873","AEST-420B","SP25","AY25",NA,NA,NA,NA
"240","AHIS-121","SP25","AY25","cultural",10,"#DD1367",1
"240","AHIS-121","SP25","AY25","architecture",11,"#FD9D24",1
"241","AHIS-128","SP25","AY25","colonial period",10,"#DD1367",1
"241","AHIS-128","SP25","AY25","architecture",11,"#FD9D24",1
"242","AHIS-220","SP25","AY25","politics",16,"#00689D",1
"243","AHIS-270","SP25","AY25",NA,NA,NA,NA
"244","AHIS-301","SP25","AY25","legal",16,"#00689D",1
"244","AHIS-301","SP25","AY25","ethics",10,"#DD1367",1
"244","AHIS-301","SP25","AY25","law",16,"#00689D",1
"245","AHIS-304","SP25","AY25",NA,NA,NA,NA
"246","AHIS-322","SP25","AY25","city",11,"#FD9D24",1
"246","AHIS-322","SP25","AY25","architecture",11,"#FD9D24",1
"247","AHIS-330","SP25","AY25",NA,NA,NA,NA
"248","AHIS-361","SP25","AY25","architecture",11,"#FD9D24",1
"249","AHIS-368","SP25","AY25","cultural",10,"#DD1367",1
"249","AHIS-368","SP25","AY25","architecture",11,"#FD9D24",1
"250","AHIS-370","SP25","AY25","political",16,"#00689D",1
"251","AHIS-373","SP25","AY25","invention",9,"#FD6925",1
"252","AHIS-400","SP25","AY25","museums",11,"#FD9D24",1
"252","AHIS-400","SP25","AY25","apprenticeship",4,"#C5192D",1
"253","AHIS-427","SP25","AY25","museum",11,"#FD9D24",1
"254","AHIS-492","SP25","AY25","museum",11,"#FD9D24",2
"254","AHIS-492","SP25","AY25","educator",4,"#C5192D",1
"255","AHIS-494","SP25","AY25",NA,NA,NA,NA
"256","AHIS-520","SP25","AY25",NA,NA,NA,NA
"257","AHIS-528","SP25","AY25",NA,NA,NA,NA
"258","AHIS-540","SP25","AY25",NA,NA,NA,NA
"259","AHIS-596","SP25","AY25",NA,NA,NA,NA
"57","ALI-225","SP25","AY25",NA,NA,NA,NA
"58","ALI-234","SP25","AY25",NA,NA,NA,NA
"59","ALI-235","SP25","AY25",NA,NA,NA,NA
"60","ALI-242","SP25","AY25",NA,NA,NA,NA
"61","ALI-244","SP25","AY25",NA,NA,NA,NA
"62","ALI-245","SP25","AY25",NA,NA,NA,NA
"64","ALI-246","SP25","AY25",NA,NA,NA,NA
"63","ALI-252","SP25","AY25",NA,NA,NA,NA
"65","ALI-254","SP25","AY25",NA,NA,NA,NA
"66","ALI-255","SP25","AY25",NA,NA,NA,NA
"67","ALI-256","SP25","AY25",NA,NA,NA,NA
"68","ALI-270","SP25","AY25",NA,NA,NA,NA
"69","ALI-271","SP25","AY25",NA,NA,NA,NA
"70","ALI-274","SP25","AY25",NA,NA,NA,NA
"71","ALI-275","SP25","AY25",NA,NA,NA,NA
"1505","AME-201","SP25","AY25",NA,NA,NA,NA
"1501","AME-204","SP25","AY25",NA,NA,NA,NA
"1497","AME-208","SP25","AY25","aerospace",9,"#FD6925",1
"1506","AME-261","SP25","AY25","vehicles",11,"#FD9D24",1
"1568","AME-291","SP25","AY25","solar",7,"#FCC30B",1
"1568","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1569","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1570","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1571","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1572","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1573","AME-291","SP25","AY25","fabrication",9,"#FD6925",1
"1504","AME-301","SP25","AY25",NA,NA,NA,NA
"1502","AME-302","SP25","AY25",NA,NA,NA,NA
"1507","AME-303","SP25","AY25","machinery",9,"#FD6925",3
"1507","AME-303","SP25","AY25","machines",9,"#FD6925",1
"1508","AME-308","SP25","AY25",NA,NA,NA,NA
"1503","AME-309","SP25","AY25",NA,NA,NA,NA
"1509","AME-310","SP25","AY25","energy concepts",7,"#FCC30B",1
"1516","AME-341B","SP25","AY25","electronic components",7,"#FCC30B",1
"1521","AME-403","SP25","AY25",NA,NA,NA,NA
"1522","AME-405","SP25","AY25","aerospace",9,"#FD6925",1
"1522","AME-405","SP25","AY25","mechanical engineering",9,"#FD6925",1
"1510","AME-408","SP25","AY25",NA,NA,NA,NA
"1524","AME-409","SP25","AY25",NA,NA,NA,NA
"1511","AME-414","SP25","AY25",NA,NA,NA,NA
"1498","AME-415","SP25","AY25","power generation",7,"#FCC30B",1
"1534","AME-416","SP25","AY25","medicine",3,"#4C9F38",1
"1513","AME-420","SP25","AY25",NA,NA,NA,NA
"1560","AME-423","SP25","AY25",NA,NA,NA,NA
"1514","AME-431","SP25","AY25",NA,NA,NA,NA
"1515","AME-436","SP25","AY25","pollutant",15,"#56C02B",1
"1515","AME-436","SP25","AY25","automotive",9,"#FD6925",1
"1525","AME-441A","SP25","AY25",NA,NA,NA,NA
"1526","AME-441B","SP25","AY25",NA,NA,NA,NA
"1527","AME-443","SP25","AY25",NA,NA,NA,NA
"1528","AME-451","SP25","AY25",NA,NA,NA,NA
"1529","AME-453","SP25","AY25","aerospace",9,"#FD6925",1
"1538","AME-455","SP25","AY25","microfabrication",9,"#FD6925",1
"1538","AME-455","SP25","AY25","mems",9,"#FD6925",3
"1538","AME-455","SP25","AY25","microelectromechanical systems",9,"#FD6925",1
"1530","AME-460","SP25","AY25","aerodynamic",9,"#FD6925",1
"1535","AME-481","SP25","AY25","aerodynamic",9,"#FD6925",1
"1520","AME-486","SP25","AY25","composite materials",9,"#FD6925",2
"1518","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1519","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1519","AME-491","SP25","AY25","solar",7,"#FCC30B",1
"1523","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1536","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1537","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1564","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1565","AME-491","SP25","AY25","fabrication",9,"#FD6925",1
"1539","AME-503","SP25","AY25","mechanical design",9,"#FD6925",1
"1566","AME-504","SP25","AY25","systems engineering",9,"#FD6925",1
"1540","AME-505","SP25","AY25","machines",9,"#FD6925",1
"1540","AME-505","SP25","AY25","machine learning",9,"#FD6925",2
"1541","AME-509","SP25","AY25","laws",16,"#00689D",1
"1574","AME-510","SP25","AY25",NA,NA,NA,NA
"1542","AME-511","SP25","AY25",NA,NA,NA,NA
"1543","AME-513B","SP25","AY25",NA,NA,NA,NA
"1532","AME-516","SP25","AY25",NA,NA,NA,NA
"1499","AME-517","SP25","AY25","solar",7,"#FCC30B",1
"1563","AME-522","SP25","AY25",NA,NA,NA,NA
"1533","AME-524","SP25","AY25","advanced engineering",9,"#FD6925",1
"1544","AME-525","SP25","AY25",NA,NA,NA,NA
"1545","AME-526","SP25","AY25","heat wave",13,"#3F7E44",0
"1546","AME-527","SP25","AY25",NA,NA,NA,NA
"1547","AME-529","SP25","AY25","aerospace",9,"#FD6925",1
"1512","AME-530B","SP25","AY25",NA,NA,NA,NA
"1550","AME-532A","SP25","AY25","flight vehicle",9,"#FD6925",1
"1549","AME-532B","SP25","AY25","flight vehicle",9,"#FD6925",1
"1531","AME-533","SP25","AY25",NA,NA,NA,NA
"1553","AME-535B","SP25","AY25",NA,NA,NA,NA
"1552","AME-539","SP25","AY25",NA,NA,NA,NA
"1551","AME-544","SP25","AY25","machinery",9,"#FD6925",1
"1554","AME-545","SP25","AY25",NA,NA,NA,NA
"1548","AME-546","SP25","AY25",NA,NA,NA,NA
"1555","AME-550","SP25","AY25","aerospace",9,"#FD6925",2
"1555","AME-550","SP25","AY25","mechanical engineering",9,"#FD6925",2
"1556","AME-552","SP25","AY25","aerospace",9,"#FD6925",1
"1567","AME-554","SP25","AY25",NA,NA,NA,NA
"1559","AME-556","SP25","AY25","robot",9,"#FD6925",2
"1559","AME-556","SP25","AY25","robotic",9,"#FD6925",1
"1517","AME-564","SP25","AY25","automotive",9,"#FD6925",1
"1517","AME-564","SP25","AY25","aerospace",9,"#FD6925",1
"1557","AME-577","SP25","AY25","hydroelectric",7,"#FCC30B",1
"1557","AME-577","SP25","AY25","sustainable future",15,"#56C02B",1
"1557","AME-577","SP25","AY25","sustainable future",14,"#0A97D9",1
"1557","AME-577","SP25","AY25","sustainable future",2,"#DDA63A",1
"1557","AME-577","SP25","AY25","sustainable future",9,"#FD6925",1
"1557","AME-577","SP25","AY25","sustainable future",1,"#E5243B",1
"1557","AME-577","SP25","AY25","sustainable future",8,"#A21942",1
"1557","AME-577","SP25","AY25","hydroelectric",6,"#26BDE2",1
"1557","AME-577","SP25","AY25","sustainable future",12,"#BF8B2E",1
"1557","AME-577","SP25","AY25","sustainable future",11,"#FD9D24",1
"1557","AME-577","SP25","AY25","sustainable future",16,"#00689D",1
"1557","AME-577","SP25","AY25","fossil fuels",13,"#3F7E44",1
"1557","AME-577","SP25","AY25","sustainable future",6,"#26BDE2",1
"1557","AME-577","SP25","AY25","sustainable future",4,"#C5192D",1
"1557","AME-577","SP25","AY25","geothermal",7,"#FCC30B",1
"1557","AME-577","SP25","AY25","sustainable future",3,"#4C9F38",1
"1557","AME-577","SP25","AY25","sustainable future",17,"#19486A",1
"1557","AME-577","SP25","AY25","sustainable future",5,"#FF3A21",1
"1557","AME-577","SP25","AY25","sustainable future",7,"#FCC30B",1
"1557","AME-577","SP25","AY25","sustainable future",10,"#DD1367",1
"1557","AME-577","SP25","AY25","sustainable future",13,"#3F7E44",1
"1557","AME-577","SP25","AY25","solar",7,"#FCC30B",1
"1557","AME-577","SP25","AY25","fuels",7,"#FCC30B",2
"1558","AME-585","SP25","AY25","vehicles",11,"#FD9D24",1
"1558","AME-585","SP25","AY25","aerospace",9,"#FD6925",1
"1500","AME-626","SP25","AY25",NA,NA,NA,NA
"1561","AME-630","SP25","AY25","epidemiological",3,"#4C9F38",1
"1562","AME-651","SP25","AY25",NA,NA,NA,NA
"74","AMST-101","SP25","AY25","race",10,"#DD1367",2
"74","AMST-101","SP25","AY25","city",11,"#FD9D24",1
"74","AMST-101","SP25","AY25","inequality",5,"#FF3A21",1
"74","AMST-101","SP25","AY25","inequality",10,"#DD1367",1
"74","AMST-101","SP25","AY25","political",16,"#00689D",1
"74","AMST-101","SP25","AY25","politics",16,"#00689D",1
"74","AMST-101","SP25","AY25","segregation",10,"#DD1367",1
"76","AMST-135","SP25","AY25","latino",10,"#DD1367",1
"76","AMST-135","SP25","AY25","cultural",10,"#DD1367",1
"77","AMST-150","SP25","AY25","war",16,"#00689D",3
"78","AMST-200","SP25","AY25","ethnic",10,"#DD1367",2
"78","AMST-200","SP25","AY25","ethnicity",10,"#DD1367",1
"79","AMST-205","SP25","AY25","race",10,"#DD1367",1
"73","AMST-230","SP25","AY25","african american",10,"#DD1367",2
"73","AMST-230","SP25","AY25","political",16,"#00689D",1
"73","AMST-230","SP25","AY25","african americans",10,"#DD1367",1
"80","AMST-250","SP25","AY25","political",16,"#00689D",1
"80","AMST-250","SP25","AY25","diaspora",10,"#DD1367",2
"81","AMST-274","SP25","AY25","ethnicity",10,"#DD1367",2
"81","AMST-274","SP25","AY25","race",10,"#DD1367",1
"82","AMST-301","SP25","AY25","cultural",10,"#DD1367",1
"82","AMST-301","SP25","AY25","political",16,"#00689D",1
"83","AMST-330","SP25","AY25","political",16,"#00689D",2
"83","AMST-330","SP25","AY25","racial",10,"#DD1367",1
"85","AMST-331","SP25","AY25","migration",10,"#DD1367",1
"84","AMST-337","SP25","AY25","muslim",10,"#DD1367",2
"84","AMST-337","SP25","AY25","immigrants",10,"#DD1367",1
"84","AMST-337","SP25","AY25","slavery",10,"#DD1367",1
"75","AMST-348","SP25","AY25","environmental justice",10,"#DD1367",1
"75","AMST-348","SP25","AY25","environmentalism",12,"#BF8B2E",1
"75","AMST-348","SP25","AY25","environmental justice",12,"#BF8B2E",1
"75","AMST-348","SP25","AY25","racial",10,"#DD1367",1
"75","AMST-348","SP25","AY25","environmental problems",13,"#3F7E44",1
"75","AMST-348","SP25","AY25","justice",16,"#00689D",1
"75","AMST-348","SP25","AY25","race",10,"#DD1367",1
"75","AMST-348","SP25","AY25","environmental problems",12,"#BF8B2E",1
"75","AMST-348","SP25","AY25","environmental justice",11,"#FD9D24",1
"75","AMST-348","SP25","AY25","ethnic",10,"#DD1367",1
"75","AMST-348","SP25","AY25","minorities",10,"#DD1367",1
"75","AMST-348","SP25","AY25","environmental problems",11,"#FD9D24",1
"75","AMST-348","SP25","AY25","environmental problems",6,"#26BDE2",1
"75","AMST-348","SP25","AY25","environmental problems",15,"#56C02B",1
"86","AMST-350","SP25","AY25","gender and class",5,"#FF3A21",0
"86","AMST-350","SP25","AY25","inequality",5,"#FF3A21",1
"86","AMST-350","SP25","AY25","ethnicity",10,"#DD1367",2
"86","AMST-350","SP25","AY25","inequality",10,"#DD1367",1
"86","AMST-350","SP25","AY25","race",10,"#DD1367",1
"87","AMST-365","SP25","AY25",NA,NA,NA,NA
"88","AMST-373","SP25","AY25","racial",10,"#DD1367",1
"88","AMST-373","SP25","AY25","immigration",10,"#DD1367",1
"88","AMST-373","SP25","AY25","cultural",10,"#DD1367",1
"91","AMST-379","SP25","AY25","immigration",10,"#DD1367",1
"91","AMST-379","SP25","AY25","race",10,"#DD1367",1
"89","AMST-392","SP25","AY25","experiential learning",4,"#C5192D",1
"90","AMST-452","SP25","AY25","slavery",10,"#DD1367",1
"90","AMST-452","SP25","AY25","race",10,"#DD1367",1
"90","AMST-452","SP25","AY25","sexuality",5,"#FF3A21",1
"90","AMST-452","SP25","AY25","labor",8,"#A21942",1
"90","AMST-452","SP25","AY25","schools",4,"#C5192D",1
"90","AMST-452","SP25","AY25","sexual",5,"#FF3A21",2
"90","AMST-452","SP25","AY25","sexuality",10,"#DD1367",1
"92","AMST-510","SP25","AY25","latino",10,"#DD1367",2
"93","AMST-530","SP25","AY25","african american",10,"#DD1367",2
"94","AMST-553","SP25","AY25","trans",5,"#FF3A21",1
"94","AMST-553","SP25","AY25","heterosexual",5,"#FF3A21",1
"94","AMST-553","SP25","AY25","lesbian",5,"#FF3A21",1
"94","AMST-553","SP25","AY25","race",10,"#DD1367",2
"94","AMST-553","SP25","AY25","sexuality",5,"#FF3A21",1
"94","AMST-553","SP25","AY25","sexuality",10,"#DD1367",1
"95","AMST-610","SP25","AY25","latino",10,"#DD1367",2
"96","AMST-635","SP25","AY25","race",10,"#DD1367",1
"97","AMST-701","SP25","AY25","ethnicity",10,"#DD1367",1
"97","AMST-701","SP25","AY25","ethnic",10,"#DD1367",2
"2666","ANST-501","SP25","AY25","cardiovascular",3,"#4C9F38",1
"2666","ANST-501","SP25","AY25","drugs",3,"#4C9F38",1
"2666","ANST-501","SP25","AY25","respiratory",3,"#4C9F38",1
"2667","ANST-502","SP25","AY25","nurse",3,"#4C9F38",1
"2667","ANST-502","SP25","AY25","pain",3,"#4C9F38",1
"2668","ANST-591","SP25","AY25","clinical",3,"#4C9F38",1
"2668","ANST-591","SP25","AY25","nurse",3,"#4C9F38",1
"2669","ANST-601","SP25","AY25","clinical",3,"#4C9F38",3
"2670","ANST-615","SP25","AY25","nurse",3,"#4C9F38",1
"2670","ANST-615","SP25","AY25","clinical",3,"#4C9F38",3
"2671","ANST-616","SP25","AY25","pediatric",3,"#4C9F38",1
"2671","ANST-616","SP25","AY25","nurse",3,"#4C9F38",1
"2671","ANST-616","SP25","AY25","geriatric",3,"#4C9F38",1
"2671","ANST-616","SP25","AY25","clinical",3,"#4C9F38",1
"2672","ANST-617","SP25","AY25","pain",3,"#4C9F38",1
"2672","ANST-617","SP25","AY25","critical care",3,"#4C9F38",1
"2672","ANST-617","SP25","AY25","nurse",3,"#4C9F38",1
"2672","ANST-617","SP25","AY25","clinical",3,"#4C9F38",1
"2672","ANST-617","SP25","AY25","cardiac",3,"#4C9F38",1
"2673","ANST-618","SP25","AY25","nurse",3,"#4C9F38",1
"2673","ANST-618","SP25","AY25","pain",3,"#4C9F38",1
"2673","ANST-618","SP25","AY25","cardiac",3,"#4C9F38",1
"2673","ANST-618","SP25","AY25","critical care",3,"#4C9F38",1
"2673","ANST-618","SP25","AY25","clinical",3,"#4C9F38",1
"2674","ANST-619","SP25","AY25","critical care",3,"#4C9F38",1
"2674","ANST-619","SP25","AY25","cardiac",3,"#4C9F38",1
"2674","ANST-619","SP25","AY25","clinical",3,"#4C9F38",1
"2674","ANST-619","SP25","AY25","nurse",3,"#4C9F38",1
"2674","ANST-619","SP25","AY25","pain",3,"#4C9F38",1
"3407","ANST-632","SP25","AY25","nurse",3,"#4C9F38",1
"3407","ANST-632","SP25","AY25","clinical",3,"#4C9F38",1
"3406","ANST-652","SP25","AY25","diagnosis",3,"#4C9F38",1
"3406","ANST-652","SP25","AY25","illness",3,"#4C9F38",1
"130","ANTH-105","SP25","AY25","politics",16,"#00689D",1
"130","ANTH-105","SP25","AY25","health care",3,"#4C9F38",1
"130","ANTH-105","SP25","AY25","medicine",3,"#4C9F38",1
"130","ANTH-105","SP25","AY25","cultural",10,"#DD1367",1
"98","ANTH-140","SP25","AY25","civilizations",11,"#FD9D24",1
"131","ANTH-202","SP25","AY25","civilization",11,"#FD9D24",1
"143","ANTH-205","SP25","AY25","cultural",10,"#DD1367",1
"143","ANTH-205","SP25","AY25","diverse communities",10,"#DD1367",1
"143","ANTH-205","SP25","AY25","globalization",8,"#A21942",1
"140","ANTH-220","SP25","AY25","environmental issues",12,"#BF8B2E",1
"140","ANTH-220","SP25","AY25","environmental issues",7,"#FCC30B",1
"140","ANTH-220","SP25","AY25","environmental issues",13,"#3F7E44",1
"140","ANTH-220","SP25","AY25","environmental issues",15,"#56C02B",1
"140","ANTH-220","SP25","AY25","environmental issues",6,"#26BDE2",1
"140","ANTH-220","SP25","AY25","environmental issues",11,"#FD9D24",1
"140","ANTH-220","SP25","AY25","human relationships",11,"#FD9D24",1
"99","ANTH-235","SP25","AY25","politics",16,"#00689D",1
"99","ANTH-235","SP25","AY25","indigenous",10,"#DD1367",1
"99","ANTH-235","SP25","AY25","political",16,"#00689D",1
"99","ANTH-235","SP25","AY25","indigenous",2,"#DDA63A",1
"100","ANTH-263","SP25","AY25",NA,NA,NA,NA
"132","ANTH-273","SP25","AY25",NA,NA,NA,NA
"133","ANTH-302","SP25","AY25","ancient environments",15,"#56C02B",1
"133","ANTH-302","SP25","AY25","environmental change",15,"#56C02B",1
"133","ANTH-302","SP25","AY25","humans and ancient environments",11,"#FD9D24",1
"127","ANTH-307","SP25","AY25",NA,NA,NA,NA
"101","ANTH-310","SP25","AY25",NA,NA,NA,NA
"144","ANTH-312","SP25","AY25","latinx",10,"#DD1367",2
